segment_id,zone,land_use,surface_temp_c,heat_exposure_index,shade_coverage_pct,pedestrian_count_day,tree_canopy_pct,shelter_coverage_pct,shaded_walkway_pct,impervious_surface_pct,monthly_rainfall_mm,dryness_index
SEG-001,Central Plaza,Institutional,49.7,89.8,40.5,6488,30.2,24.5,24.1,11.2,210.8,0.68
SEG-002,Market Street,Transport,35.7,38.8,54.6,2013,13.4,21.3,36.5,22.2,40.6,0.95
SEG-003,Riverside Walk,Commercial,39.2,49.7,37.8,13870,5.0,6.5,26.3,76.1,133.4,0.43
SEG-004,Bus Terminal,Institutional,35.6,37.4,14.4,8177,34.0,12.4,29.8,38.4,44.7,0.17
SEG-005,School Zone,Transport,46.4,64.2,5.7,5070,41.8,17.8,31.1,40.2,179.9,0.26
SEG-006,Civic Avenue,Commercial,46.2,66.4,37.3,3830,43.9,17.7,8.5,59.2,69.7,0.92
SEG-007,Greenwood East,Institutional,31.4,21.4,9.8,5918,40.3,14.1,34.8,4.4,38.5,0.38
SEG-008,Harbor Road,Transport,46.1,67.3,33.7,6404,16.2,4.5,24.0,25.6,167.2,0.89
SEG-009,Central Plaza,Commercial,50.3,90.9,44.4,11371,10.4,17.5,19.5,82.7,151.5,0.64
SEG-010,Market Street,Institutional,45.4,72.7,46.6,715,6.2,24.6,24.4,29.6,191.3,0.92
SEG-011,Riverside Walk,Transport,49.5,68.6,5.5,17314,37.5,25.0,17.6,76.1,24.9,0.75
SEG-012,Bus Terminal,Commercial,39.6,36.9,13.8,5303,27.7,11.8,35.9,34.8,131.2,0.38
SEG-013,School Zone,Institutional,49.4,78.3,34.4,9773,7.3,19.1,33.6,95.0,41.2,0.42
SEG-014,Civic Avenue,Transport,51.8,90.6,39.3,10761,19.1,18.6,25.4,53.5,149.0,0.93
SEG-015,Greenwood East,Commercial,31.2,10.9,50.7,5091,14.5,14.2,6.4,80.5,107.4,0.66
SEG-016,Harbor Road,Institutional,49.7,80.6,14.5,7019,21.7,15.2,21.5,27.8,5.5,0.43
SEG-017,Central Plaza,Transport,53.6,90.1,35.0,9058,43.9,20.2,14.7,97.1,68.5,0.69
SEG-018,Market Street,Commercial,37.3,34.3,8.2,4031,16.8,10.3,6.2,1.2,2.3,0.88
SEG-019,Riverside Walk,Institutional,41.0,54.0,29.0,14215,19.9,19.5,20.4,80.8,86.1,0.13
SEG-020,Bus Terminal,Transport,41.0,56.9,24.4,10262,20.5,17.7,49.9,15.6,134.0,0.84
SEG-021,School Zone,Commercial,47.4,82.5,26.0,9945,25.8,16.9,18.9,79.2,123.7,0.79
SEG-022,Civic Avenue,Institutional,37.7,25.0,14.0,16823,28.8,2.0,20.6,66.4,61.1,0.26
SEG-023,Greenwood East,Transport,36.6,22.8,42.8,11779,26.3,24.8,27.5,27.0,184.5,0.91
SEG-024,Harbor Road,Commercial,48.9,80.4,30.0,5079,17.9,23.1,5.5,87.4,57.5,0.15
SEG-025,Central Plaza,Institutional,51.2,79.1,7.0,540,8.8,18.7,45.7,29.1,78.3,0.03
SEG-026,Market Street,Transport,33.4,24.0,41.2,5625,13.3,11.7,17.2,52.0,122.0,0.35
SEG-027,Riverside Walk,Commercial,37.3,37.5,51.8,15457,20.9,13.0,29.4,95.8,95.4,0.34
SEG-028,Bus Terminal,Institutional,53.8,90.4,11.7,8650,26.9,20.5,30.4,26.4,79.8,0.73
SEG-029,School Zone,Transport,44.4,60.5,21.1,9248,7.5,10.1,30.1,30.3,150.9,0.07
SEG-030,Civic Avenue,Commercial,53.4,91.8,48.8,13441,25.9,11.6,18.9,10.1,113.8,0.31
SEG-031,Greenwood East,Institutional,51.7,81.2,7.1,10589,44.2,10.8,44.2,71.9,173.0,0.59
SEG-032,Harbor Road,Transport,43.2,58.0,44.8,14288,43.0,22.3,38.0,93.0,5.9,0.01
SEG-033,Central Plaza,Commercial,37.1,38.2,33.0,11363,40.1,2.4,39.8,6.0,206.5,0.36
SEG-034,Market Street,Institutional,37.7,52.3,40.3,3921,39.6,16.7,11.3,37.4,107.1,0.27
SEG-035,Riverside Walk,Transport,53.4,98.0,40.1,10135,26.2,5.8,19.5,77.7,54.9,0.68
SEG-036,Bus Terminal,Commercial,36.8,42.5,13.0,4806,40.4,1.3,14.6,65.7,79.0,0.16
SEG-037,School Zone,Institutional,34.6,28.3,20.4,10860,34.9,12.2,34.3,22.4,94.9,0.81
SEG-038,Civic Avenue,Transport,52.7,91.3,21.0,16297,35.9,7.2,20.2,9.8,184.0,0.11
SEG-039,Greenwood East,Commercial,47.2,73.0,18.2,14100,9.8,19.6,14.8,82.2,73.3,0.54
SEG-040,Harbor Road,Institutional,50.5,64.3,24.0,16697,41.1,6.6,30.6,91.1,155.0,0.92
